id,device_id,temperature,humidity,light_level,voltage,timestamp,received_at
30,SENSOR_003,24.74,79.17,904,3.62,2025-11-25 07:48:24,2025-11-25T10:48:24.201430
31,SENSOR_001,23.64,62.83,454,3.61,2025-11-25 07:48:24,2025-11-25T10:48:24.869349
32,SENSOR_002,25.38,49.34,591,3.44,2025-11-25 07:48:24,2025-11-25T10:48:24.874039
33,SENSOR_003,24.33,76.49,758,3.43,2025-11-25 07:48:24,2025-11-25T10:48:24.902308
34,SENSOR_001,25.54,44.99,294,3.93,2025-11-25 07:48:34,2025-11-25T10:48:34.218515
35,SENSOR_002,19.78,76.8,347,3.9,2025-11-25 07:48:34,2025-11-25T10:48:34.223582
36,SENSOR_003,28.02,66.48,636,3.68,2025-11-25 07:48:34,2025-11-25T10:48:34.228948
37,SENSOR_001,19.5,56.84,393,3.21,2025-11-25 07:48:34,2025-11-25T10:48:34.919231
38,SENSOR_002,22.31,79.35,136,4.11,2025-11-25 07:48:34,2025-11-25T10:48:34.925799
39,SENSOR_003,26.82,68.81,202,3.2,2025-11-25 07:48:34,2025-11-25T10:48:34.931763
40,SENSOR_001,21.57,44.19,849,3.36,2025-11-25 07:48:44,2025-11-25T10:48:44.246847
41,SENSOR_002,18.13,54.57,131,4.05,2025-11-25 07:48:44,2025-11-25T10:48:44.251392
42,SENSOR_003,18.53,62.26,953,3.79,2025-11-25 07:48:44,2025-11-25T10:48:44.257879
43,SENSOR_001,19.42,52.62,821,4.08,2025-11-25 07:48:44,2025-11-25T10:48:44.958545
44,SENSOR_002,21.48,57.4,595,3.86,2025-11-25 07:48:44,2025-11-25T10:48:44.963495
45,SENSOR_003,23.6,63.55,284,3.64,2025-11-25 07:48:44,2025-11-25T10:48:44.968199
46,SENSOR_001,20.07,68.92,232,3.73,2025-11-25 07:48:54,2025-11-25T10:48:54.266864
47,SENSOR_002,22.46,68.25,777,4.2,2025-11-25 07:48:54,2025-11-25T10:48:54.280950
48,SENSOR_003,24.96,43.84,729,3.82,2025-11-25 07:48:54,2025-11-25T10:48:54.294105
49,SENSOR_001,22.86,73.18,639,3.52,2025-11-25 07:48:54,2025-11-25T10:48:54.976850
50,SENSOR_002,26.87,46.46,604,3.66,2025-11-25 07:48:54,2025-11-25T10:48:54.989688
51,SENSOR_003,24.41,64.71,819,3.76,2025-11-25 07:48:54,2025-11-25T10:48:55.001106
52,SENSOR_001,27.0,58.09,205,3.78,2025-11-25 07:49:05,2025-11-25T10:49:05.033198
53,SENSOR_002,24.43,67.41,702,3.33,2025-11-25 07:49:05,2025-11-25T10:49:05.056083
54,SENSOR_003,27.24,73.48,897,3.82,2025-11-25 07:49:05,2025-11-25T10:49:05.076640
55,SENSOR_001,27.28,67.93,524,3.68,2025-11-25 07:49:15,2025-11-25T10:49:15.104387
56,SENSOR_002,22.5,50.13,959,3.64,2025-11-25 07:49:15,2025-11-25T10:49:15.110044
57,SENSOR_003,19.71,44.17,187,3.28,2025-11-25 07:49:15,2025-11-25T10:49:15.115834
58,SENSOR_001,24.16,42.05,767,3.92,2025-11-25 07:49:25,2025-11-25T10:49:25.140229
59,SENSOR_002,23.67,55.4,974,3.77,2025-11-25 07:49:25,2025-11-25T10:49:25.145852
60,SENSOR_003,27.3,52.71,100,4.07,2025-11-25 07:49:25,2025-11-25T10:49:25.174170
61,SENSOR_001,19.46,53.16,444,4.04,2025-11-25 07:49:35,2025-11-25T10:49:35.189529
62,SENSOR_002,27.74,46.96,900,3.61,2025-11-25 07:49:35,2025-11-25T10:49:35.195037
63,SENSOR_003,24.43,72.43,574,3.31,2025-11-25 07:49:35,2025-11-25T10:49:35.200569
64,SENSOR_001,21.08,52.98,437,3.64,2025-11-25 07:49:45,2025-11-25T10:49:45.222710
65,SENSOR_002,19.97,65.29,487,4.2,2025-11-25 07:49:45,2025-11-25T10:49:45.228108
66,SENSOR_003,20.21,59.73,947,3.26,2025-11-25 07:49:45,2025-11-25T10:49:45.233344
67,SENSOR_001,18.62,41.75,394,3.24,2025-11-25 07:49:55,2025-11-25T10:49:55.252053
68,SENSOR_002,27.89,53.28,551,3.45,2025-11-25 07:49:55,2025-11-25T10:49:55.257637
69,SENSOR_003,23.27,72.15,157,3.41,2025-11-25 07:49:55,2025-11-25T10:49:55.264814
70,SENSOR_001,27.21,55.29,938,3.5,2025-11-25 07:50:05,2025-11-25T10:50:05.273974
71,SENSOR_002,23.18,71.58,985,3.43,2025-11-25 07:50:05,2025-11-25T10:50:05.295378
72,SENSOR_003,23.39,77.38,693,3.78,2025-11-25 07:50:05,2025-11-25T10:50:05.300723
73,SENSOR_001,20.37,80.08,909,4.04,2025-11-25 07:50:15,2025-11-25T10:50:15.309302
74,SENSOR_002,24.56,49.95,861,3.37,2025-11-25 07:50:15,2025-11-25T10:50:15.322923
75,SENSOR_003,20.48,58.11,140,3.94,2025-11-25 07:50:15,2025-11-25T10:50:15.337902
76,SENSOR_001,24.0,53.91,844,3.85,2025-11-25 07:50:25,2025-11-25T10:50:25.352883
77,SENSOR_002,26.63,44.55,560,3.45,2025-11-25 07:50:25,2025-11-25T10:50:25.367327
78,SENSOR_003,24.47,51.83,579,3.87,2025-11-25 07:50:25,2025-11-25T10:50:25.381428
79,SENSOR_001,24.0,54.8,147,3.68,2025-11-25 07:50:35,2025-11-25T10:50:35.395339
80,SENSOR_002,20.4,76.75,180,3.54,2025-11-25 07:50:35,2025-11-25T10:50:35.408202
81,SENSOR_003,25.86,72.72,625,3.22,2025-11-25 07:50:35,2025-11-25T10:50:35.421082
82,SENSOR_001,18.98,45.56,600,4.06,2025-11-25 07:50:45,2025-11-25T10:50:45.435317
83,SENSOR_002,24.54,75.64,922,3.59,2025-11-25 07:50:45,2025-11-25T10:50:45.448503
84,SENSOR_003,24.44,66.73,285,3.64,2025-11-25 07:50:45,2025-11-25T10:50:45.461687
85,SENSOR_001,24.04,54.57,616,3.97,2025-11-25 07:50:55,2025-11-25T10:50:55.475688
86,SENSOR_002,23.44,48.28,657,3.32,2025-11-25 07:50:55,2025-11-25T10:50:55.488376
87,SENSOR_003,27.81,64.02,220,3.78,2025-11-25 07:50:55,2025-11-25T10:50:55.498988
88,SENSOR_001,18.08,42.96,332,3.9,2025-11-25 07:51:05,2025-11-25T10:51:05.513604
89,SENSOR_002,26.21,58.29,341,3.63,2025-11-25 07:51:05,2025-11-25T10:51:05.526824
90,SENSOR_003,27.01,64.97,637,4.1,2025-11-25 07:51:05,2025-11-25T10:51:05.539772
91,SENSOR_001,27.54,49.86,759,3.58,2025-11-25 07:51:15,2025-11-25T10:51:15.554250
92,SENSOR_002,23.54,74.46,454,3.87,2025-11-25 07:51:15,2025-11-25T10:51:15.566346
93,SENSOR_003,26.98,75.83,564,4.05,2025-11-25 07:51:15,2025-11-25T10:51:15.579332
94,SENSOR_001,23.38,70.48,211,3.51,2025-11-25 07:51:25,2025-11-25T10:51:25.593985
95,SENSOR_002,21.42,61.14,752,3.56,2025-11-25 07:51:25,2025-11-25T10:51:25.606863
96,SENSOR_003,23.37,77.23,624,3.46,2025-11-25 07:51:25,2025-11-25T10:51:25.620746
97,SENSOR_001,24.54,68.12,714,3.39,2025-11-25 07:51:35,2025-11-25T10:51:35.632822
98,SENSOR_002,26.58,59.66,618,3.92,2025-11-25 07:51:35,2025-11-25T10:51:35.646356
99,SENSOR_003,21.43,67.16,934,4.14,2025-11-25 07:51:35,2025-11-25T10:51:35.661159
100,SENSOR_001,23.3,73.38,628,3.84,2025-11-25 07:51:45,2025-11-25T10:51:45.674188
101,SENSOR_002,18.49,75.72,532,3.41,2025-11-25 07:51:45,2025-11-25T10:51:45.686457
102,SENSOR_003,20.41,64.97,159,3.89,2025-11-25 07:51:45,2025-11-25T10:51:45.698146
103,SENSOR_001,20.9,70.05,972,3.33,2025-11-25 07:51:55,2025-11-25T10:51:55.712347
104,SENSOR_002,22.33,63.5,891,3.59,2025-11-25 07:51:55,2025-11-25T10:51:55.726599
105,SENSOR_003,22.4,52.25,928,3.9,2025-11-25 07:51:55,2025-11-25T10:51:55.741867
106,SENSOR_001,27.99,50.35,411,3.5,2025-11-25 07:52:05,2025-11-25T10:52:05.758052
107,SENSOR_002,23.54,50.63,682,3.81,2025-11-25 07:52:05,2025-11-25T10:52:05.769924
108,SENSOR_003,17.89,58.66,713,3.8,2025-11-25 07:52:05,2025-11-25T10:52:05.782263
109,SENSOR_001,20.43,60.1,817,4.04,2025-11-25 07:52:15,2025-11-25T10:52:15.794782
110,SENSOR_002,20.8,51.37,691,4.0,2025-11-25 07:52:15,2025-11-25T10:52:15.807528
111,SENSOR_003,27.05,80.5,127,3.9,2025-11-25 07:52:15,2025-11-25T10:52:15.821433
112,SENSOR_001,18.99,63.21,542,3.51,2025-11-25 07:52:25,2025-11-25T10:52:25.835749
113,SENSOR_002,22.97,60.06,629,3.24,2025-11-25 07:52:25,2025-11-25T10:52:25.849105
114,SENSOR_003,21.8,66.71,173,3.24,2025-11-25 07:52:25,2025-11-25T10:52:25.859204
115,SENSOR_001,23.23,56.93,819,3.39,2025-11-25 07:52:35,2025-11-25T10:52:35.871111
116,SENSOR_002,23.71,52.02,155,4.07,2025-11-25 07:52:35,2025-11-25T10:52:35.875625
117,SENSOR_003,18.87,71.42,497,4.14,2025-11-25 07:52:35,2025-11-25T10:52:35.880240
118,SENSOR_001,21.75,76.47,974,3.54,2025-11-25 07:52:45,2025-11-25T10:52:45.904887
119,SENSOR_002,22.14,77.36,875,4.05,2025-11-25 07:52:45,2025-11-25T10:52:45.909849
120,SENSOR_003,18.38,60.92,459,3.26,2025-11-25 07:52:45,2025-11-25T10:52:45.914307
121,SENSOR_001,22.58,73.76,839,4.06,2025-11-25 07:52:55,2025-11-25T10:52:55.930383
122,SENSOR_002,24.77,65.45,235,4.06,2025-11-25 07:52:55,2025-11-25T10:52:55.935561
123,SENSOR_003,24.6,65.45,992,4.19,2025-11-25 07:52:55,2025-11-25T10:52:55.940935
124,SENSOR_001,18.17,66.38,966,3.94,2025-11-25 07:53:05,2025-11-25T10:53:05.958120
125,SENSOR_002,25.86,41.3,517,4.02,2025-11-25 07:53:05,2025-11-25T10:53:05.962851
126,SENSOR_003,23.48,47.69,131,4.1,2025-11-25 07:53:05,2025-11-25T10:53:05.967916
127,SENSOR_001,27.18,70.87,472,3.55,2025-11-25 07:53:15,2025-11-25T10:53:15.990125
128,SENSOR_002,20.86,74.45,787,3.44,2025-11-25 07:53:15,2025-11-25T10:53:15.995456
129,SENSOR_003,23.15,69.87,770,3.44,2025-11-25 07:53:16,2025-11-25T10:53:16.001719
130,SENSOR_001,23.3,46.26,919,3.33,2025-11-25 07:53:26,2025-11-25T10:53:26.010841
131,SENSOR_002,18.89,40.46,694,3.22,2025-11-25 07:53:26,2025-11-25T10:53:26.023590
132,SENSOR_003,25.97,46.03,515,3.42,2025-11-25 07:53:26,2025-11-25T10:53:26.037310
133,SENSOR_001,24.52,68.21,264,3.81,2025-11-25 07:53:36,2025-11-25T10:53:36.050617
134,SENSOR_002,21.22,60.1,480,3.77,2025-11-25 07:53:36,2025-11-25T10:53:36.064100
135,SENSOR_003,23.79,76.91,991,3.67,2025-11-25 07:53:36,2025-11-25T10:53:36.077624
136,SENSOR_001,21.77,53.82,925,3.51,2025-11-25 07:53:46,2025-11-25T10:53:46.092766
137,SENSOR_002,20.21,58.09,323,3.32,2025-11-25 07:53:46,2025-11-25T10:53:46.106233
138,SENSOR_003,25.24,74.37,406,3.23,2025-11-25 07:53:46,2025-11-25T10:53:46.119225
139,SENSOR_001,25.82,64.73,367,3.43,2025-11-25 07:53:56,2025-11-25T10:53:56.131117
140,SENSOR_002,22.55,40.26,601,3.65,2025-11-25 07:53:56,2025-11-25T10:53:56.144563
141,SENSOR_003,25.05,45.76,424,3.6,2025-11-25 07:53:56,2025-11-25T10:53:56.156819
142,SENSOR_001,25.92,54.19,164,3.34,2025-11-25 07:54:06,2025-11-25T10:54:06.168798
143,SENSOR_002,20.77,53.43,606,4.2,2025-11-25 07:54:06,2025-11-25T10:54:06.182030
144,SENSOR_003,23.24,41.14,931,3.78,2025-11-25 07:54:06,2025-11-25T10:54:06.196405
145,SENSOR_001,21.47,67.46,167,4.09,2025-11-25 07:54:16,2025-11-25T10:54:16.209277
146,SENSOR_002,18.1,73.29,446,4.15,2025-11-25 07:54:16,2025-11-25T10:54:16.223517
147,SENSOR_003,23.35,50.98,407,3.56,2025-11-25 07:54:16,2025-11-25T10:54:16.237730
148,SENSOR_001,27.57,43.66,100,3.76,2025-11-25 07:54:26,2025-11-25T10:54:26.251738
149,SENSOR_002,19.25,71.93,522,4.02,2025-11-25 07:54:26,2025-11-25T10:54:26.264843
150,SENSOR_003,23.42,53.41,609,3.64,2025-11-25 07:54:26,2025-11-25T10:54:26.277525
151,SENSOR_001,24.82,54.88,856,3.74,2025-11-25 07:54:36,2025-11-25T10:54:36.292285
152,SENSOR_002,27.4,53.95,487,3.43,2025-11-25 07:54:36,2025-11-25T10:54:36.304567
153,SENSOR_003,20.64,46.2,657,4.15,2025-11-25 07:54:36,2025-11-25T10:54:36.316539
154,SENSOR_001,25.53,61.22,656,4.16,2025-11-25 07:54:46,2025-11-25T10:54:46.330261
155,SENSOR_002,22.63,65.88,747,4.01,2025-11-25 07:54:46,2025-11-25T10:54:46.342208
156,SENSOR_003,22.1,76.4,319,3.49,2025-11-25 07:54:46,2025-11-25T10:54:46.355759
157,SENSOR_001,19.86,76.17,161,3.39,2025-11-25 07:54:56,2025-11-25T10:54:56.367662
158,SENSOR_002,26.03,51.52,943,3.23,2025-11-25 07:54:56,2025-11-25T10:54:56.380726
159,SENSOR_003,19.22,78.3,806,3.3,2025-11-25 07:54:56,2025-11-25T10:54:56.393848
160,SENSOR_001,24.6,69.35,164,3.53,2025-11-25 07:55:06,2025-11-25T10:55:06.406275
161,SENSOR_002,25.78,54.21,815,4.07,2025-11-25 07:55:06,2025-11-25T10:55:06.419401
162,SENSOR_003,27.38,60.31,659,3.87,2025-11-25 07:55:06,2025-11-25T10:55:06.431329
163,SENSOR_001,21.59,53.29,646,3.91,2025-11-25 07:55:16,2025-11-25T10:55:16.445176
164,SENSOR_002,25.32,76.94,921,3.94,2025-11-25 07:55:16,2025-11-25T10:55:16.458457
165,SENSOR_003,22.69,56.25,578,3.54,2025-11-25 07:55:16,2025-11-25T10:55:16.471928
166,SENSOR_001,26.84,55.59,454,3.4,2025-11-25 07:55:26,2025-11-25T10:55:26.484272
167,SENSOR_002,20.76,69.21,520,3.62,2025-11-25 07:55:26,2025-11-25T10:55:26.496325
168,SENSOR_003,27.64,58.26,661,3.73,2025-11-25 07:55:26,2025-11-25T10:55:26.511061
169,SENSOR_001,19.77,65.07,292,3.32,2025-11-25 07:55:36,2025-11-25T10:55:36.525594
170,SENSOR_002,26.36,59.16,290,3.76,2025-11-25 07:55:36,2025-11-25T10:55:36.538248
171,SENSOR_003,24.22,52.75,336,3.21,2025-11-25 07:55:36,2025-11-25T10:55:36.550348
172,SENSOR_001,22.41,77.13,436,4.15,2025-11-25 07:55:46,2025-11-25T10:55:46.562607
173,SENSOR_002,24.59,73.91,130,3.35,2025-11-25 07:55:46,2025-11-25T10:55:46.568557
174,SENSOR_003,20.06,62.56,930,3.43,2025-11-25 07:55:46,2025-11-25T10:55:46.574651
175,SENSOR_001,28.1,62.85,549,3.27,2025-11-25 07:55:56,2025-11-25T10:55:56.584630
176,SENSOR_002,19.76,53.52,110,4.1,2025-11-25 07:55:56,2025-11-25T10:55:56.597036
177,SENSOR_003,23.21,44.65,645,3.75,2025-11-25 07:55:56,2025-11-25T10:55:56.607750
178,SENSOR_001,24.89,78.34,524,4.18,2025-11-25 07:56:06,2025-11-25T10:56:06.621274
179,SENSOR_002,26.33,50.56,725,3.49,2025-11-25 07:56:06,2025-11-25T10:56:06.632422
180,SENSOR_003,19.86,63.3,713,3.91,2025-11-25 07:56:06,2025-11-25T10:56:06.645236
181,SENSOR_001,25.71,47.87,963,3.81,2025-11-25 07:56:16,2025-11-25T10:56:16.655975
182,SENSOR_002,21.23,56.44,498,3.94,2025-11-25 07:56:16,2025-11-25T10:56:16.669047
183,SENSOR_003,25.17,53.4,114,3.35,2025-11-25 07:56:16,2025-11-25T10:56:16.680062
184,SENSOR_001,25.83,60.18,290,3.54,2025-11-25 07:56:26,2025-11-25T10:56:26.692215
185,SENSOR_002,18.37,64.05,671,3.51,2025-11-25 07:56:26,2025-11-25T10:56:26.705943
186,SENSOR_003,23.55,80.19,125,3.31,2025-11-25 07:56:26,2025-11-25T10:56:26.717967
187,SENSOR_001,19.61,73.98,418,3.88,2025-11-25 07:56:36,2025-11-25T10:56:36.750651
188,SENSOR_002,19.31,46.69,742,4.01,2025-11-25 07:56:36,2025-11-25T10:56:36.755245
189,SENSOR_003,23.02,76.01,657,3.9,2025-11-25 07:56:36,2025-11-25T10:56:36.761015
190,SENSOR_001,21.77,49.12,457,4.06,2025-11-25 07:56:46,2025-11-25T10:56:46.781071
191,SENSOR_002,24.06,72.44,803,3.7,2025-11-25 07:56:46,2025-11-25T10:56:46.805516
192,SENSOR_003,25.06,45.72,592,3.89,2025-11-25 07:56:46,2025-11-25T10:56:46.810360
193,SENSOR_001,20.66,57.81,213,4.1,2025-11-25 07:56:56,2025-11-25T10:56:56.818561
194,SENSOR_002,27.47,68.87,414,3.35,2025-11-25 07:56:56,2025-11-25T10:56:56.830239
195,SENSOR_003,22.54,52.42,437,4.05,2025-11-25 07:56:56,2025-11-25T10:56:56.841913
196,SENSOR_001,24.5,60.24,408,3.98,2025-11-25 07:57:06,2025-11-25T10:57:06.854437
197,SENSOR_002,22.59,53.89,253,3.61,2025-11-25 07:57:06,2025-11-25T10:57:06.889598
198,SENSOR_003,25.48,70.2,559,3.71,2025-11-25 07:57:06,2025-11-25T10:57:06.902167
199,SENSOR_001,24.34,50.58,750,3.26,2025-11-25 07:57:16,2025-11-25T10:57:16.915444
200,SENSOR_002,18.12,40.35,669,3.81,2025-11-25 07:57:16,2025-11-25T10:57:16.927300
201,SENSOR_003,19.01,73.64,315,4.17,2025-11-25 07:57:16,2025-11-25T10:57:16.936300
202,SENSOR_001,21.68,52.54,331,4.13,2025-11-25 07:57:26,2025-11-25T10:57:26.948211
203,SENSOR_002,20.3,70.76,912,3.94,2025-11-25 07:57:26,2025-11-25T10:57:26.961789
204,SENSOR_003,25.12,64.34,155,3.74,2025-11-25 07:57:26,2025-11-25T10:57:26.975905
205,SENSOR_001,18.34,44.01,904,3.4,2025-11-25 07:57:36,2025-11-25T10:57:36.987976
206,SENSOR_002,22.12,52.63,359,3.25,2025-11-25 07:57:37,2025-11-25T10:57:37.002013
207,SENSOR_003,24.76,46.69,502,3.7,2025-11-25 07:57:37,2025-11-25T10:57:37.016055
208,SENSOR_001,24.64,49.21,466,3.75,2025-11-25 07:57:47,2025-11-25T10:57:47.030333
209,SENSOR_002,21.64,43.14,856,3.33,2025-11-25 07:57:47,2025-11-25T10:57:47.045048
210,SENSOR_003,24.22,55.72,293,4.12,2025-11-25 07:57:47,2025-11-25T10:57:47.059087
211,SENSOR_001,20.96,77.13,248,3.28,2025-11-25 07:57:57,2025-11-25T10:57:57.072545
212,SENSOR_002,25.18,64.23,124,3.27,2025-11-25 07:57:57,2025-11-25T10:57:57.089841
213,SENSOR_003,24.82,66.03,304,3.84,2025-11-25 07:57:57,2025-11-25T10:57:57.101226
214,SENSOR_001,22.02,56.67,547,3.94,2025-11-25 07:58:07,2025-11-25T10:58:07.113266
215,SENSOR_002,18.26,67.45,358,3.99,2025-11-25 07:58:07,2025-11-25T10:58:07.127733
216,SENSOR_003,26.98,42.18,330,4.19,2025-11-25 07:58:07,2025-11-25T10:58:07.141040
217,SENSOR_001,25.66,64.6,598,4.02,2025-11-25 07:58:17,2025-11-25T10:58:17.155687
218,SENSOR_002,19.7,46.87,724,3.56,2025-11-25 07:58:17,2025-11-25T10:58:17.167016
219,SENSOR_003,26.81,64.43,603,3.97,2025-11-25 07:58:17,2025-11-25T10:58:17.179354
220,SENSOR_001,24.59,48.64,766,4.2,2025-11-25 07:58:27,2025-11-25T10:58:27.193176
221,SENSOR_002,22.62,62.47,858,4.13,2025-11-25 07:58:27,2025-11-25T10:58:27.206028
222,SENSOR_003,19.61,43.57,529,4.0,2025-11-25 07:58:27,2025-11-25T10:58:27.220235
223,SENSOR_001,24.07,55.23,359,3.59,2025-11-25 07:58:37,2025-11-25T10:58:37.229010
224,SENSOR_002,19.5,75.49,254,4.11,2025-11-25 07:58:37,2025-11-25T10:58:37.240068
225,SENSOR_003,17.86,67.34,434,3.95,2025-11-25 07:58:37,2025-11-25T10:58:37.252286
226,SENSOR_001,24.39,68.05,630,3.8,2025-11-25 07:58:47,2025-11-25T10:58:47.263866
227,SENSOR_002,20.35,48.13,518,3.68,2025-11-25 07:58:47,2025-11-25T10:58:47.277096
228,SENSOR_003,18.61,66.25,914,3.68,2025-11-25 07:58:47,2025-11-25T10:58:47.291143
229,SENSOR_001,17.75,50.03,1000,3.81,2025-11-25 07:58:57,2025-11-25T10:58:57.303400
230,SENSOR_002,20.38,47.71,593,3.92,2025-11-25 07:58:57,2025-11-25T10:58:57.316976
231,SENSOR_003,21.91,67.96,989,3.33,2025-11-25 07:58:57,2025-11-25T10:58:57.328945
232,SENSOR_001,21.07,74.06,605,4.12,2025-11-25 07:59:07,2025-11-25T10:59:07.345474
233,SENSOR_002,18.92,66.74,887,3.93,2025-11-25 07:59:07,2025-11-25T10:59:07.358907
234,SENSOR_003,18.15,57.38,161,3.44,2025-11-25 07:59:07,2025-11-25T10:59:07.381387
235,SENSOR_001,23.53,53.14,676,4.15,2025-11-25 07:59:17,2025-11-25T10:59:17.396436
236,SENSOR_002,25.72,60.78,632,3.21,2025-11-25 07:59:17,2025-11-25T10:59:17.410506
237,SENSOR_003,26.85,79.5,583,3.9,2025-11-25 07:59:17,2025-11-25T10:59:17.424038
238,SENSOR_001,21.05,68.01,387,4.19,2025-11-25 07:59:27,2025-11-25T10:59:27.434268
239,SENSOR_002,27.33,61.39,314,3.53,2025-11-25 07:59:27,2025-11-25T10:59:27.447983
240,SENSOR_003,20.47,76.94,895,3.38,2025-11-25 07:59:27,2025-11-25T10:59:27.462464
241,SENSOR_001,26.41,76.5,616,3.74,2025-11-25 07:59:37,2025-11-25T10:59:37.477067
242,SENSOR_002,19.83,79.6,972,3.69,2025-11-25 07:59:37,2025-11-25T10:59:37.491538
243,SENSOR_003,25.85,66.35,760,3.7,2025-11-25 07:59:37,2025-11-25T10:59:37.503822
244,SENSOR_001,18.36,73.66,618,3.75,2025-11-25 07:59:47,2025-11-25T10:59:47.516310
245,SENSOR_002,27.09,75.47,220,3.87,2025-11-25 07:59:47,2025-11-25T10:59:47.528952
246,SENSOR_003,27.88,77.52,900,3.81,2025-11-25 07:59:47,2025-11-25T10:59:47.542163
247,SENSOR_001,26.41,60.48,229,3.48,2025-11-25 07:59:57,2025-11-25T10:59:57.555577
248,SENSOR_002,19.38,45.62,698,4.1,2025-11-25 07:59:57,2025-11-25T10:59:57.568755
249,SENSOR_003,23.23,64.1,839,3.31,2025-11-25 07:59:57,2025-11-25T10:59:57.578907
250,SENSOR_001,21.36,69.31,874,3.64,2025-11-25 08:00:07,2025-11-25T11:00:07.594776
251,SENSOR_002,20.49,42.8,412,3.23,2025-11-25 08:00:07,2025-11-25T11:00:07.606931
252,SENSOR_003,24.79,77.2,881,3.51,2025-11-25 08:00:07,2025-11-25T11:00:07.619150
253,SENSOR_001,27.39,78.97,393,3.38,2025-11-25 08:00:17,2025-11-25T11:00:17.634296
254,SENSOR_002,18.96,66.59,968,3.38,2025-11-25 08:00:17,2025-11-25T11:00:17.646974
255,SENSOR_003,25.93,42.77,627,3.46,2025-11-25 08:00:17,2025-11-25T11:00:17.661819
256,SENSOR_001,26.19,58.09,536,3.93,2025-11-25 08:00:27,2025-11-25T11:00:27.676377
257,SENSOR_002,25.36,48.78,179,3.96,2025-11-25 08:00:27,2025-11-25T11:00:27.688844
258,SENSOR_003,25.1,60.91,130,3.56,2025-11-25 08:00:27,2025-11-25T11:00:27.702051
259,SENSOR_001,23.33,52.02,439,3.97,2025-11-25 08:00:37,2025-11-25T11:00:37.716262
260,SENSOR_002,26.7,65.63,408,3.39,2025-11-25 08:00:37,2025-11-25T11:00:37.730125
261,SENSOR_003,23.06,70.44,173,3.88,2025-11-25 08:00:37,2025-11-25T11:00:37.742791
262,SENSOR_001,19.83,51.32,421,3.97,2025-11-25 08:00:47,2025-11-25T11:00:47.755475
